id;origem;destino;km;veiculo;ajudante;andares;elevador;cenario;base;vlr_ajud;vlr_elev;vlr_esc;total_pix;total_cartao;comissao_pegue;valor_prestador;rs_por_km
51;Osasco;Casa Verde;20;hr;nao;0;nao;base;479;0;0;0;479;503;57;422;23.95
52;Osasco;Casa Verde;20;caminhao_bau;nao;0;nao;base;620;0;0;0;620;651;74;546;31.00
53;Osasco;Brooklin;22;carro_comum;nao;0;nao;base;246;0;0;0;246;258;30;216;11.18
54;Osasco;Brooklin;22;utilitario;nao;0;nao;base;289;0;0;0;289;303;35;254;13.14
55;Osasco;Brooklin;22;hr;nao;0;nao;base;491;0;0;0;491;515;59;432;22.32
56;Osasco;Brooklin;22;caminhao_bau;nao;0;nao;base;636;0;0;0;636;668;76;560;28.91
57;Barueri;Santana;24;carro_comum;nao;0;nao;base;251;0;0;0;251;263;30;221;10.46
58;Barueri;Santana;24;utilitario;nao;0;nao;base;295;0;0;0;295;310;35;260;12.29
59;Barueri;Santana;24;hr;nao;0;nao;base;502;0;0;0;502;527;60;442;20.92
60;Barueri;Santana;24;caminhao_bau;nao;0;nao;base;649;0;0;0;649;681;78;571;27.04
61;Osasco;Panamby;25;carro_comum;nao;0;nao;base;253;0;0;0;253;266;30;223;10.12
62;Osasco;Panamby;25;utilitario;nao;0;nao;base;298;0;0;0;298;313;36;262;11.92
63;Osasco;Panamby;25;hr;nao;0;nao;base;507;0;0;0;507;532;61;446;20.28
64;Osasco;Panamby;25;caminhao_bau;nao;0;nao;base;656;0;0;0;656;689;79;577;26.24
65;Osasco;Tatuape;28;carro_comum;nao;0;nao;base;261;0;0;0;261;274;31;230;9.32
66;Osasco;Tatuape;28;utilitario;nao;0;nao;base;307;0;0;0;307;322;37;270;10.96
67;Osasco;Tatuape;28;hr;nao;0;nao;base;522;0;0;0;522;548;63;459;18.64
68;Osasco;Tatuape;28;caminhao_bau;nao;0;nao;base;675;0;0;0;675;709;81;594;24.11
69;Osasco;Vila Mariana;30;carro_comum;nao;0;nao;base;265;0;0;0;265;278;32;233;8.83
70;Osasco;Vila Mariana;30;utilitario;nao;0;nao;base;312;0;0;0;312;328;37;275;10.40
71;Osasco;Vila Mariana;30;hr;nao;0;nao;base;530;0;0;0;530;556;64;466;17.67
72;Osasco;Vila Mariana;30;caminhao_bau;nao;0;nao;base;686;0;0;0;686;720;82;604;22.87
73;Osasco;Santo Andre;35;carro_comum;nao;0;nao;base;276;0;0;0;276;290;33;243;7.89
74;Osasco;Santo Andre;35;utilitario;nao;0;nao;base;325;0;0;0;325;341;39;286;9.29
75;Osasco;Santo Andre;35;hr;nao;0;nao;base;553;0;0;0;553;581;66;487;15.80
